OrderID,Date,Product,Quantity,UnitPrice,CustomerCity,Category,TotalSales,Month,MonthNo
1001,2025-04-13,Smartwatch,1,400,Alexandria,Accessories,400,Apr,4
1002,2025-12-15,Smartphone,1,250,Tanta,Electronics,250,Dec,12
1003,2025-09-28,Smartwatch,1,1200,Tanta,Accessories,1200,Sep,9
1004,2025-04-17,Tablet,1,250,Tanta,Electronics,250,Apr,4
1005,2025-03-13,Smartwatch,2,1200,Tanta,Accessories,2400,Mar,3
1006,2025-07-08,Laptop,4,1200,Tanta,Electronics,4800,Jul,7
1007,2025-01-21,Smartwatch,4,800,Cairo,Accessories,3200,Jan,1
1008,2025-04-13,Laptop,3,250,Mansoura,Electronics,750,Apr,4
1009,2025-05-02,Laptop,2,250,Cairo,Electronics,500,May,5
1010,2025-08-03,Tablet,1,400,Tanta,Electronics,400,Aug,8
1011,2025-11-27,Laptop,2,400,Alexandria,Electronics,800,Nov,11
1012,2025-03-29,Tablet,3,800,Alexandria,Electronics,2400,Mar,3
1013,2025-04-10,Tablet,3,800,Tanta,Electronics,2400,Apr,4
1014,2025-12-26,Smartphone,2,150,Tanta,Electronics,300,Dec,12
1015,2025-06-01,Smartphone,2,400,Alexandria,Electronics,800,Jun,6
1016,2025-05-11,Smartphone,2,1200,Cairo,Electronics,2400,May,5
1017,2025-05-30,Smartphone,4,250,Cairo,Electronics,1000,May,5
1018,2025-11-05,Smartphone,1,800,Tanta,Electronics,800,Nov,11
1019,2025-09-15,Smartwatch,2,250,Cairo,Accessories,500,Sep,9
1020,2025-12-10,Smartphone,2,250,Alexandria,Electronics,500,Dec,12
1021,2025-10-21,Laptop,2,150,Cairo,Electronics,300,Oct,10
1022,2025-07-11,Headphones,3,400,Tanta,Accessories,1200,Jul,7
1023,2025-10-04,Smartphone,3,800,Alexandria,Electronics,2400,Oct,10
1024,2025-06-10,Headphones,4,250,Cairo,Accessories,1000,Jun,6
1025,2025-11-10,Smartphone,1,800,Mansoura,Electronics,800,Nov,11
1026,2025-01-22,Smartphone,4,1200,Alexandria,Electronics,4800,Jan,1
1027,2025-09-10,Smartwatch,1,150,Alexandria,Accessories,150,Sep,9
1028,2025-08-24,Smartwatch,3,1200,Mansoura,Accessories,3600,Aug,8
1029,2025-12-11,Headphones,3,800,Mansoura,Accessories,2400,Dec,12
1030,2025-02-18,Smartwatch,3,800,Alexandria,Accessories,2400,Feb,2
1031,2025-02-28,Headphones,4,400,Mansoura,Accessories,1600,Feb,2
1032,2025-06-19,Smartphone,2,250,Tanta,Electronics,500,Jun,6
1033,2025-07-07,Smartphone,2,250,Tanta,Electronics,500,Jul,7
1034,2025-09-28,Headphones,3,1200,Tanta,Accessories,3600,Sep,9
1035,2025-07-09,Headphones,2,150,Alexandria,Accessories,300,Jul,7
1036,2025-06-24,Tablet,2,250,Mansoura,Electronics,500,Jun,6
1037,2025-02-20,Laptop,4,400,Mansoura,Electronics,1600,Feb,2
1038,2025-12-30,Laptop,1,1200,Cairo,Electronics,1200,Dec,12
1039,2025-02-24,Headphones,3,1200,Cairo,Accessories,3600,Feb,2
1040,2025-09-01,Laptop,3,400,Mansoura,Electronics,1200,Sep,9
1041,2025-11-16,Tablet,4,150,Mansoura,Electronics,600,Nov,11
1042,2025-05-11,Headphones,4,400,Mansoura,Accessories,1600,May,5
1043,2025-11-03,Laptop,2,150,Alexandria,Electronics,300,Nov,11
1044,2025-05-15,Headphones,3,400,Mansoura,Accessories,1200,May,5
1045,2025-01-21,Headphones,1,400,Cairo,Accessories,400,Jan,1
1046,2025-11-25,Smartphone,4,800,Alexandria,Electronics,3200,Nov,11
1047,2025-06-16,Tablet,1,1200,Mansoura,Electronics,1200,Jun,6
1048,2025-10-01,Laptop,1,400,Cairo,Electronics,400,Oct,10
1049,2025-03-30,Headphones,3,400,Alexandria,Accessories,1200,Mar,3
1050,2025-11-12,Laptop,3,250,Mansoura,Electronics,750,Nov,11
1051,2025-01-14,Headphones,4,1200,Mansoura,Accessories,4800,Jan,1
1052,2025-08-30,Laptop,3,250,Mansoura,Electronics,750,Aug,8
1053,2025-09-22,Smartphone,3,1200,Alexandria,Electronics,3600,Sep,9
1054,2025-12-12,Tablet,3,250,Cairo,Electronics,750,Dec,12
1055,2025-02-22,Smartphone,1,400,Cairo,Electronics,400,Feb,2
1056,2025-12-06,Laptop,4,400,Tanta,Electronics,1600,Dec,12
1057,2025-04-02,Tablet,2,800,Mansoura,Electronics,1600,Apr,4
1058,2025-09-21,Tablet,1,250,Tanta,Electronics,250,Sep,9
1059,2025-02-04,Smartwatch,3,150,Tanta,Accessories,450,Feb,2
1060,2025-07-25,Smartwatch,1,800,Cairo,Accessories,800,Jul,7
1061,2025-03-22,Laptop,3,250,Alexandria,Electronics,750,Mar,3
1062,2025-02-19,Smartphone,3,250,Alexandria,Electronics,750,Feb,2
1063,2025-12-26,Laptop,1,800,Cairo,Electronics,800,Dec,12
1064,2025-01-02,Smartwatch,4,400,Alexandria,Accessories,1600,Jan,1
1065,2025-02-23,Headphones,3,250,Tanta,Accessories,750,Feb,2
1066,2025-04-16,Headphones,4,400,Mansoura,Accessories,1600,Apr,4
